Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
3280, E3, 1, 1, 1, 0, 0, 0, 1, 1, 0, 
3300, E4, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
3320, E5, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
3340, E6, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
3360, E7, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
3380, E8, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
3400, E9, 1, 1, 1, 0, 1, 0, 0, 1, 0, 
3420, EA, 1, 1, 1, 0, 1, 0, 1, 0, 0, 
3440, EB, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
3460, EC, 1, 1, 1, 0, 1, 1, 0, 0, 0, 
3480, ED, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
3500, EE, 1, 1, 1, 0, 1, 1, 1, 0, 0, 
3520, EF, 1, 1, 1, 0, 1, 1, 1, 1, 0, 
3540, F0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
3560, F1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
3580, F2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
3600, F3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
3620, F4, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
3640, F5, 1, 1, 1, 1, 0, 1, 0, 1, 0, 
3660, F6, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
3680, F7, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
3700, F8, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
3720, F9, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
3740, FA, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
3760, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
3780, FC, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
3800, FD, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
3820, FE, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
3840, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
3860, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3880, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
3900, 02, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
3920, 03, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
3940, 04, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
3960, 05, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
3980, 06, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
